,ChEMBL_ID,smiles,pIC50,unwantedID
0,CHEMBL63786,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280336,['Polycyclic-aromatic-hydrocarbon']
1,CHEMBL1243316,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,10.522878745280336,"['Aliphatic-long-chain', 'Michael-acceptor', 'Triple-bond']"
2,CHEMBL3613702,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,10.431798275933003,"['Halogenated-ring', 'Michael-acceptor']"
3,CHEMBL363815,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.431798275933003,"['Halogenated-ring', 'Michael-acceptor']"
4,CHEMBL275762,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.154901959985745,"['Alkyl-halide', 'Halogenated-ring']"
5,CHEMBL420624,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10.0,['Aniline']
6,CHEMBL55729,Nc1ccc2cncnc2c1,10.0,['Aniline']
7,CHEMBL190094,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,9.958607314841776,"['Halogenated-ring', 'Michael-acceptor']"
8,CHEMBL3930620,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.920818753952377,"['Aliphatic-long-chain', 'Hydroxamic-acid', 'Oxygen-nitrogen-single-bond']"
9,CHEMBL193160,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,9.920818753952377,"['Alkyl-halide', 'Iodine']"
10,CHEMBL328216,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.920818753952377,['Aniline']
11,CHEMBL3892310,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,9.886056647693165,['Michael-acceptor']
12,CHEMBL417478,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.795880017344077,['Michael-acceptor']
13,CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551078621726,['Catechol']
